symbol,date,time,open,high,low,close,volume
SUNPHARMA,2015-10-28,15:30:00,903.00,907.50,895.05,899.00,1939812
SUNPHARMA,2015-10-29,15:30:00,902.00,902.00,875.55,880.00,3272915
SUNPHARMA,2015-10-30,15:30:00,880.20,893.00,876.70,887.90,2387217
SUNPHARMA,2015-11-02,15:30:00,875.05,878.15,857.55,866.20,1982404
SUNPHARMA,2015-11-03,15:30:00,870.00,877.80,862.80,866.60,1547053
SUNPHARMA,2015-11-04,15:30:00,867.00,874.50,850.00,850.60,2275409
SUNPHARMA,2015-11-05,15:30:00,848.00,849.90,809.00,811.70,4038115
SUNPHARMA,2015-11-06,15:30:00,816.05,822.35,800.55,801.90,3763950
SUNPHARMA,2015-11-09,19:00:00,761.00,771.85,744.95,760.00,7903526
SUNPHARMA,2015-11-10,15:30:00,753.10,764.20,724.05,735.00,7024856
SUNPHARMA,2015-11-11,19:05:00,738.60,748.10,737.00,746.00,838885
SUNPHARMA,2015-11-13,15:30:00,745.10,752.40,736.00,741.00,4665553
SUNPHARMA,2015-11-16,15:30:00,743.00,747.50,732.55,738.55,3357919
SUNPHARMA,2015-11-17,15:30:00,746.00,755.55,743.95,755.00,3853257
SUNPHARMA,2015-11-18,15:30:00,755.00,761.30,748.50,754.00,2521801
SUNPHARMA,2015-11-19,15:30:00,758.00,761.00,738.40,743.50,4059404
SUNPHARMA,2015-11-20,15:30:00,739.80,741.00,723.90,726.10,5345428
SUNPHARMA,2015-11-23,15:30:00,726.00,728.90,713.50,716.00,5781403
SUNPHARMA,2015-11-24,15:30:00,717.00,719.55,704.00,705.50,9846509
SUNPHARMA,2015-11-26,15:30:00,716.85,740.00,716.50,737.00,8438968
SUNPHARMA,2015-11-27,15:30:00,742.00,742.35,731.00,736.10,4475863
SUNPHARMA,2015-11-30,15:30:00,732.50,737.50,727.35,729.50,8738130
SUNPHARMA,2015-12-01,15:30:00,732.00,733.80,727.00,729.05,3183165
SUNPHARMA,2015-12-02,15:30:00,739.00,739.00,725.00,730.00,5136352
SUNPHARMA,2015-12-03,15:30:00,729.85,732.40,724.00,725.80,3079014
SUNPHARMA,2015-12-04,15:30:00,722.50,773.90,721.50,755.00,24605807
SUNPHARMA,2015-12-07,15:30:00,765.30,781.50,762.05,777.50,7139702
SUNPHARMA,2015-12-08,15:30:00,776.00,779.85,767.50,771.00,3655120
SUNPHARMA,2015-12-09,15:30:00,772.50,775.40,750.15,760.90,4935349
SUNPHARMA,2015-12-10,15:30:00,769.85,769.85,733.30,754.75,4496091
SUNPHARMA,2015-12-11,15:30:00,759.65,766.00,748.50,756.00,2852880
SUNPHARMA,2015-12-14,15:30:00,758.85,773.00,753.65,768.55,2629235
SUNPHARMA,2015-12-15,15:30:00,775.00,781.45,769.20,772.40,3549320
SUNPHARMA,2015-12-16,15:30:00,780.00,785.50,775.80,784.55,2864795
SUNPHARMA,2015-12-17,15:30:00,791.05,805.00,788.00,799.00,3491346
